subscription_id,customer_id,plan_id,billing_period,period_start,period_end,subscription_start,subscription_end,invoice_id
subs_01KG4TKQEDM8XRHZ815X03Q3ZT,cust_01KFB89EV99Z834X4EKZ03ERCF0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-11-27,2026-11-27,inv_01KMZYG5KDYH4W3PBWYT3MX36K
subs_01KG4TMCMZXKXP54YQ062SANGG,cust_01KFB8C79G8EAK7Z2SV468F7BV0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-05-09,2026-05-09,inv_01KMZYBWNTASRH1AKAC4T9M4QC
subs_01KG4TN4P4DXB7HXSTKX7ZQ70D,cust_01KFB8BC13KKBEAP0FTY40AQTP0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-12-31,2026-12-31,inv_01KMZYC6AG780J2GX16ATB61T3
subs_01KG4TN5QHF1RQFH34DWCNCYWF,cust_01KFB8AZV7N264ZY19FCXR7JAF0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-05-27,2026-05-27,inv_01KMZYE4NZYM0P3CM68QP5YQTM
subs_01KG4TN6PB09YNXMRTPTQKHX6K,cust_01KFB881XZYRR5CF5ZS7RFR68Z0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-07-31,2026-07-31,inv_01KMZYGCQAKC0R5KP1P8W9PMRX
subs_01KG4TNK45PVR6837P7WPSZMTN,cust_01KFB89PPB4RDCQ2YTPBXGNEZV0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2026-02-26,2027-02-26,inv_01KMZYGG85HCFJGRX0WG4PCAR3
subs_01KG4TNWGNSDGP5EH5655E9DS5,cust_01KFCCRM9YM8HWJVEG6ZSC1H080,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-07-25,2026-07-25,inv_01KMZYH2PY3MJJY1HRFMEBA6CC
subs_01KG4TNY1SV3W6A46X1FEPWF8V,cust_01KFB896D9DNE06CA6F04C6HEP0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-11-07,2026-11-07,inv_01KMZYHVFHSGBZP6TADNQR606J
subs_01KG4TPD6A2JNYZFYX95BS08W0,cust_01KFBNR3DS8BS7DBRHNGTB19XJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-11-01,2025-12-01,2025-10-31,2027-02-16,
subs_01KG4TPD6A2JNYZFYX95BS08W0,cust_01KFBNR3DS8BS7DBRHNGTB19XJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-12-01,2026-01-01,2025-10-31,2027-02-16,
subs_01KG4TPD6A2JNYZFYX95BS08W0,cust_01KFBNR3DS8BS7DBRHNGTB19XJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-01-01,2026-02-01,2025-10-31,2027-02-16,inv_01KMZYKQBZB8XN06SZ4HEFSK2K
subs_01KG4TPD6A2JNYZFYX95BS08W0,cust_01KFBNR3DS8BS7DBRHNGTB19XJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-02-01,2026-03-01,2025-10-31,2027-02-16,inv_01KMZYNSC280A5EMXY66SZ3Y04
subs_01KG4TPD6A2JNYZFYX95BS08W0,cust_01KFBNR3DS8BS7DBRHNGTB19XJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-10-31,2027-02-16,inv_01KMZYRST295MA2W9DKKFZ83G6
subs_01KG4TPRX8WNRQVPWVSPV4BAX5,cust_01KFB88PEZFMYKBZZ5QSE421NE0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-08-08,2026-08-08,inv_01KMZYJYQW9JJ16D38JAGM8M83
subs_01KG4TRXR6NW24WM0Z68T8HWH9,cust_01KFB8PVNRZDWXAM9A31H25GR10,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-11-24,2026-11-24,inv_01KMZYKJDVPATWTWZWZRAF2880
subs_01KG4TW2MBVZGNTK3ZXSKE909D,cust_01KFDBHQ5HVYEXGK2NETSTEK3C0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2026-02-13,2027-02-13,inv_01KMZYMNWQ01V71VBYPJJBKZPN
subs_01KG4TXC5GBG284BTDYNEA1JKS,cust_01KFBGMZF3RTHAG4EJFM2DYFKE0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2026-01-30,2027-01-30,inv_01KMZYN5VTNNXW504HWNDBT0G5
subs_01KG4V7MCD2SX2378ZC458G9DY,cust_01KFDFAKT31VR9RJES2KCVQP840,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-11-01,2025-12-01,2025-11-01,,
subs_01KG4V7MCD2SX2378ZC458G9DY,cust_01KFDFAKT31VR9RJES2KCVQP840,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-12-01,2026-01-01,2025-11-01,,
subs_01KG4V7MCD2SX2378ZC458G9DY,cust_01KFDFAKT31VR9RJES2KCVQP840,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-11-01,,inv_01KMZYQG03JFYNBWKQ5ZTECEPZ
subs_01KG4V9YQ03PX1QJ0SFB0ACZR9,cust_01KFDEZGH6JTTBMST9VX6432YN0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-07-17,2026-07-17,inv_01KMZYP5DM3YKNFS7VHT5E5RKT
subs_01KG4VYV87V3KSFE5GBHQX41CB,cust_01KFDMYEGEJX2BJ6YHKA5V3DEV0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-10-31,2026-10-31,inv_01KMZYPRAYZND49EQZ16GJ6YVF
subs_01KG4W71EKDA1NBNFJDW3Z1QRW,cust_01KFDKVP0KM9AAV6N7P2FHVX450,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-12-05,2026-12-05,inv_01KMZYRGZ53HDEBZKDVAZSA8MZ
subs_01KG4W77DEH47QVZXKR6JZ8PD7,cust_01KFDM9MJHHB3CT1WD9MQFMN6M0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2026-02-27,2027-02-27,inv_01KMZYRYJ90J44BW9C451RS8DN
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-01-01,2025-02-01,2024-12-10,2026-12-10,
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-02-01,2025-03-01,2024-12-10,2026-12-10,
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-03-01,2025-04-01,2024-12-10,2026-12-10,
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-04-01,2025-05-01,2024-12-10,2026-12-10,
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-05-01,2025-06-01,2024-12-10,2026-12-10,
subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-06-01,2025-07-01,2024-12-10,2026-12-10,
