customer_id,subscription_id,invoice_id,period_start,period_end,analytics_amount,invoice_subtotal,diff,invoice_generated
cust_01KHTB9VTA1FHYS6N49MH87E9C,subs_01KHTB9VYJQM6T5GQY0PZM2SRP,inv_01KJKB5XBW6N5EMGSX46BT56DH,2026-02-19T07:02:20Z,2026-03-01T00:00:00Z,165.09,165.09,0.00,true
cust_01KHT76TK8P4ZMMTNBKPBCNE1C,subs_01KHT76TTRQG0SJQ7P4B0NY1P5,inv_01KJKB8FZ9179N5E304DH86THX,2026-02-19T05:50:47Z,2026-03-01T00:00:00Z,36.05,36.05,0.00,true
cust_01KHRW7YVZX77HDH7JFW59DTYE,subs_01KHRW7YZ25HM5N62WX0J33977,inv_01KJKB8V3TCF6D93QZ222VW28X,2026-02-18T17:19:55Z,2026-03-01T00:00:00Z,1313.17,1313.16,0.01,true
cust_01KHQB5DDGZTN5FVXMGGH6MZYF,subs_01KHQB5DKAA9W7X0W6NXMHTDDF,inv_01KJKB618C6AJ9Q81KKG4VG7JX,2026-02-18T03:02:11Z,2026-03-01T00:00:00Z,127.76,127.76,0.00,true
cust_01KHPE2Q9HMTTFW4X2R07KBX0J,subs_01KHPE2QDKTD4P2V8X9NJHDF33,inv_01KJKB9CJYKQ878DZZJF3CBGF9,2026-02-17T18:33:54Z,2026-03-01T00:00:00Z,901.83,901.82,0.01,true
cust_01KHP27GKAV9FGC0SZKTB44B9G,subs_01KHP27GR1P54JTB27K3PENKC8,inv_01KJKBABR1CXHD1GMDNM8JRVDJ,2026-02-17T15:06:48Z,2026-03-01T00:00:00Z,351.85,562.01,-210.16,true
cust_01KHN0XJ1NG86MG423EX2CT8KY,subs_01KHN0XJ7TJNQT8BJ7PB4MTRNT,inv_01KJKBBBNXVVWXJ2MW7W5975AK,2026-02-17T05:24:39Z,2026-03-01T00:00:00Z,189.48,189.49,-0.01,true
cust_01KHMR45GRVTD7D9DK396TDQN1,subs_01KHMR45Q21HAR98JMZD78F32Y,inv_01KK9D9ZEBE6BJE149V4X3TAM2,2026-02-17T02:50:59Z,2026-03-01T00:00:00Z,242.71,242.72,-0.01,true
cust_01KHKMX8P709GWYWEDV1B3E904,subs_01KHKMX8X1M3JR1CG7DE16TQ4H,inv_01KJKB6Q1D7NC09PH750P9M666,2026-02-16T16:35:32Z,2026-03-01T00:00:00Z,420.33,420.33,0.00,true
cust_01KHKBVR6XMV76YFYQGKYQARA7,subs_01KHKBVRE4KF1Q93G42TK546R3,inv_01KJKEJ9W336KBF8RX08HCEVH3,2026-02-16T13:57:25Z,2026-03-01T00:00:00Z,1037.47,1037.48,-0.01,true
cust_01KHHA7D6SEG96335PJW8QANAS,subs_01KHHA7DBGC3QRA6HCFNGMNJ5T,inv_01KJKB9Z4TWWB8GB4S5TES6JBR,2026-02-15T18:50:21Z,2026-03-01T00:00:00Z,1290.04,1290.04,0.00,true
cust_01KHH2Y5E12S19WSZK1CG1VCW9,subs_01KHH72BHQ400VQBX1ADTZMVM3,inv_01KJKBB6CXVHXMCMYW943R91YE,2026-02-15T17:54:33Z,2026-03-01T00:00:00Z,777.75,777.75,0.00,true
