customer_id,subscription_id,invoice_id,period_start,period_end,analytics_amount,invoice_subtotal,diff,invoice_generated
cust_01K6Z1T432SPQ9S487E7ZMY0R5,subs_01K6Z1T43ZFPRAB4XYK2KPVPQ2,inv_01KGBBY797QCJ4TZVHQY292MZ1,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,5356823.98,5356823.98,0,TRUE
cust_01K5YNM45C0XB14RX1QRRDW1XW,subs_01K5YNM4629G8V0P7FKD1BVHQN,inv_01KGBC0SABWP3X5J3ANHHY9VEF,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,2.69,2.69,0,TRUE
cust_01K5YNDP3CWYPK6KTVWZKMAYB1,subs_01K5YNDP49AAJSK9K45T7988RK,inv_01KJN23VZ6QV16JDRDZ6KZ9DVS,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,13.83,13.84,-0.01,TRUE
cust_01K5YN4X4HPQNGVEQ6V6AEX25J,subs_01K5YN4X5GJPWJ89BR5DGVT6CV,inv_01KGBC1BFY4YEHE3PQ30BPTEX2,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,1072.21,1072.21,0,TRUE
cust_01K5YMTB2VZ1TCVC0MA1GZA2RX,subs_01K5YMTB3QY7WX53W9Q9ZZ7SEP,inv_01KJN0W895B317R1G31KPA9HYP,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,3.89,3.88,0.01,TRUE
cust_01K5YMJ5BKRR47ZJGAYQSXG7BA,subs_01K5YMJ5CE80SD81PRBD8D0W7T,inv_01KGBD31TQWCA47QN3HDKZJ8EN,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,0.2,0.2,0,TRUE
cust_01K5XPQFVNQD50WVK1XJH0AP4Y,subs_01K5XPQFWFM0RNT7R3K271NQNG,inv_01KJN0WYHCV2TN7WJGYA1M0ZGW,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,1727789.05,1727808.85,-19.8,TRUE
cust_01K5XPQFVNQD50WVK1XJH0AP4Y,subs_01K5XPQFWFM0RNT7R3K271NQNG,inv_01KGBC2BKV4QG62PD0SG0KMHX0,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,2407422.07,4845580.89,-2438158.82,TRUE
cust_01K5VZ2TMP44S2TVT8QS3D6B6Q,subs_01K5VZ2TNFTB035AGH64W0AYAE,inv_01KJN0WY2TQSXCZ86069Z4CZEA,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,621088.13,621107.92,-19.79,TRUE
cust_01K5VZ2TMP44S2TVT8QS3D6B6Q,subs_01K5VZ2TNFTB035AGH64W0AYAE,inv_01KGBC20D2614RYATVM3XF1XT5,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,553077.09,7580.53,545496.56,TRUE
