customer_id,subscription_id,invoice_id,period_start,period_end,analytics_amount,invoice_subtotal,diff,invoice_generated
cust_01KE9P0KZR8QZ2QMP9NGM0F854,subs_01KE9P858VECERPM0XFCB68HEB,inv_01KGSGKGWPAE7WSTNH2MY519KQ,2026-01-06T12:58:24Z,2026-02-06T12:58:24Z,0.52,0.38,0.14,true
cust_01KE706QNR0B6KKNPFXNJYB02G,subs_01KE706QPKJ51ZWDJ0QE65RSZJ,inv_01KGBCDYD88RJ91ANKSB98RQHE,2026-01-05T00:00:00Z,2026-02-01T00:00:00Z,0.10,0.10,0.00,true
cust_01KE6VGVP41CCPDVJFY1G0TWRP,subs_01KE6VGVQ1P97FRM1B8XBJNP70,inv_01KGBCEPH6ASV8TEPR30Y08EAC,2026-01-05T00:00:00Z,2026-02-01T00:00:00Z,0.03,0.03,0.00,true
cust_01KE6CGCSGSD7ZB15EZMRWVDPF,subs_01KE6CGCTC6SNT1TGCZY95G9T7,inv_01KGBCC03CBGW4BD4Y5H7VR1H5,2026-01-05T00:00:00Z,2026-02-01T00:00:00Z,2.18,2.18,0.00,true
cust_01KE6BW9VW137XTYBACHQJQ0NR,subs_01KE6BW9WQNMDKNK2TGG97R3SJ,,2026-01-05T00:00:00Z,2026-02-01T00:00:00Z,0.00,,0.00,false
cust_01KE581VSJJDC72NCFB017MJV7,subs_01KE581VTFP8BPGJSNWGDZ1J1B,inv_01KGBCEREKHJJAXM5ZB1TMZHF4,2026-01-04T00:00:00Z,2026-02-01T00:00:00Z,0.07,0.07,0.00,true
cust_01KDZYF56WQ2DC5PN3BPZR59EY,subs_01KDZYF57YFH4KWA72HVK8B0AG,,2026-01-02T00:00:00Z,2026-02-01T00:00:00Z,0.00,,0.00,false
cust_01KDW997Z8D051Z11DX0X1N9RC,subs_01KDW998063958YFJ4PK4GBWJT,,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,0.00,,0.00,false
cust_01KD46H8YQ9E03AHZA11B1TG37,subs_01KD46H8ZQQX2CNHCXCFWF24KY,inv_01KGB9SRF88QAV2QG84W2M0K72,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,0.10,0.10,0.00,true
cust_01KD2YY7CT5HMXNJX3HZFMSVJR,subs_01KD2YY7HPKZ4ZSD7R9STG9F67,inv_01KGB9VCH2471RBFPMC5RYQA12,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,157.98,157.98,0.00,true
cust_01KCRFFH2MZX0ZYDAHFXMW2E6F,subs_01KCRFFH3QGPHZ5DQ812PGVAWY,inv_01KGBCEZZY665V1BK1JWKHTY89,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,0.01,0.01,0.00,true
cust_01KCRFFH2MZX0ZYDAHFXMW2E6F,subs_01KCRFFH74V7D6ZM2ZY0JCE6YB,inv_01KKZNJAYZD86J4S650QZ9244Y,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,550.80,550.80,0.00,true
cust_01KCRFFH2MZX0ZYDAHFXMW2E6F,subs_01KCRFFH74V7D6ZM2ZY0JCE6YB,inv_01KGBCCA8ANFQVA7GCG2FPEHKT,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,2970.53,2973.20,-2.67,true
cust_01KCNNVE83SJF1WYATDHDVQSQW,subs_01KCNNWMSR689D7BE20SGDN9BG,inv_01KKZP7WQ2ZDSES665QPTP05PG,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2030.07,2030.07,0.00,true
cust_01KCNNVE83SJF1WYATDHDVQSQW,subs_01KCNNWMSR689D7BE20SGDN9BG,inv_01KGB9V2YQ7K7HSTKCYH5HRS9V,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,11480.34,11490.74,-10.40,true
cust_01KCNNVE83SJF1WYATDHDVQSQW,subs_01KCNNVG8TXJADHPYK6QX1CMKM,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,0.00,,0.00,false
cust_01KCNNVE83SJF1WYATDHDVQSQW,subs_01KCNNVG8TXJADHPYK6QX1CMKM,inv_01KGB9T0931V862MZ7W75DZ1C6,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,0.04,0.04,0.00,true
